,title,budget,revenue,release_date,runtime,original_language,production_companies,production_countries,genres,spoken_languages,id,imdb_id,vote_average,vote_count
20498,Snitch,35000000,42930462,2/21/2013,112,en,"[{'name': 'Front Street Productions', 'id': 1450}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Imagenation Abu Dhabi FZ', 'id': 6736}, {'name': 'Exclusive Media Group', 'id': 11448}, {'name': 'Spitfire Pictures', 'id': 14739}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}]","[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",134411,tt0882977,5.8,1155
17750,Contagion,60000000,137551594,9/8/2011,106,en,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Imagenation Abu Dhabi FZ', 'id': 6736}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}]","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]",39538,tt1598778,6.2,1351
16077,Fair Game,22000000,24188922,5/20/2010,108,en,"[{'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Participant Media', 'id': 6735}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}]","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_639_1': 'en', 'name': 'English'}]",38363,tt0977855,6.5,239
547,The Three Musketeers,30000000,53898845,11/11/1993,105,en,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Caravan Pictures', 'id': 175}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AT', 'name': 'Austria'}]","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_639_1': 'en', 'name': 'English'}]",10057,tt0108333,6.2,219
17651,Don't Be Afraid of the Dark,25000000,36993168,11/6/2010,99,en,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Gran Via Productions', 'id': 2605}, {'name': 'FilmDistrict', 'id': 7263}, {'name': 'Necropia', 'id': 11627}, {'name': 'Tequila Gang', 'id': 11628}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'MX', 'name': 'Mexico'}]","[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_639_1': 'en', 'name': 'English'}]",46261,tt1270761,5.4,347
15835,Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,7/30/2010,82,en,"[{'name': 'Village Roadshow Pictures', 'id': 79}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",39691,tt1287468,4.9,122
22646,"I, Frankenstein",65000000,71154592,1/22/2014,92,en,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Sidney Kimmel Entertainment', 'id': 737}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Hopscotch Films', 'id': 13788}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_639_1': 'en', 'name': 'English'}]",100241,tt1418377,5.1,701
11592,Ghost Rider,110000000,228738393,2/16/2007,114,en,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Michael De Luca Productions', 'id': 11370}, {'name': 'Marvel Enterprises', 'id': 19551}, {'name': 'Crystal Sky Pictures', 'id': 20241}, {'name': 'GH One', 'id': 20475}, {'name': 'Vengeance Productions Pty. Ltd.', 'id': 20476}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]","[{'iso_639_1': 'en', 'name': 'English'}]",1250,tt0259324,5.2,1754
10797,Firewall,45000000,82800000,2/10/2006,105,en,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Thunder Road Pictures', 'id': 3528}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Beacon Pictures', 'id': 10157}, {'name': 'Jon Shestack Productions', 'id': 10991}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]","[{'id': 53, 'name': 'Thriller'}]","[{'iso_639_1': 'en', 'name': 'English'}]",9754,tt0408345,5.6,270
12014,The Invasion,80000000,15071514,8/17/2007,99,en,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]","[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",4858,tt0427392,5.7,366
