,budget,revenue,runtime,original_language,vote_average,vote_count,main_production_company,main_spoken_language,main_genre,release_month,release_year
0,35000000,42930462,112,en,5.8,1155,Front Street Productions,English,Thriller,2,2013
1,60000000,137551594,106,en,6.2,1351,Double Feature Films,English,Drama,9,2011
2,22000000,24188922,108,en,6.5,239,River Road Entertainment,English,Drama,5,2010
3,30000000,53898845,105,en,6.2,219,Walt Disney Pictures,English,Action,11,1993
4,25000000,36993168,99,en,5.4,347,Miramax Films,English,Fantasy,11,2010
5,85000000,112483764,82,en,4.9,122,Village Roadshow Pictures,English,Comedy,7,2010
6,65000000,71154592,92,en,5.1,701,Lakeshore Entertainment,English,Horror,1,2014
7,110000000,228738393,114,en,5.2,1754,Columbia Pictures Corporation,English,Thriller,2,2007
8,45000000,82800000,105,en,5.6,270,Village Roadshow Pictures,English,Thriller,2,2006
9,80000000,15071514,99,en,5.7,366,Village Roadshow Pictures,Pусский,Science Fiction,8,2007
10,30000000,108609310,108,en,5.8,347,Universal Pictures,English,Action,2,2011
11,20000000,51416464,98,en,6.0,646,Lionsgate,English,Fantasy,1,2009
12,150000000,424988211,129,en,6.4,3155,Village Roadshow Pictures,English,Adventure,11,2003
13,9600000,2541554,121,en,6.5,165,Echo Lake Entertainment,English,Drama,9,2015
14,105000000,351040419,143,en,7.3,3885,Village Roadshow Pictures,English,Drama,5,2013
15,6400000,6,86,en,4.7,31,TriStar Pictures,English,Thriller,10,1995
16,60000000,74208267,136,en,5.5,531,Paramount Pictures,English,Action,3,2003
17,32000000,60740827,96,en,6.9,850,New Line Cinema,English,Drama,9,2005
18,35000000,85416905,100,en,5.2,625,Dune Entertainment,English,Action,10,2008
19,3000000,748453,86,en,5.7,213,Rhombus Media,English,Action,5,2011
20,3000000,2037545,101,en,5.8,29,Front Street Productions,English,Drama,1,2004
21,14000000,85446075,92,en,5.8,509,Ghost House Pictures,English,Horror,8,2012
22,2700000,3500000,93,en,5.9,109,New Century Entertainment Corporation,English,Romance,11,1986
